id,founder_name,email,role,company,location,idea,about,keywords,stage,linked_in,notes
107bf518-31f7-4fa7-bc74-b3318ac23155,Allison Hill,allison.hill@gmail.com,Founder,Taylor Inc,"New Roberttown, Bermuda",Personalized platform for teachers to save time.,"With expertise in robotics, Allison Hill has previously contributed to Tesla. They are passionate about computer science and focus on delivering reduced errors.","Legal, healthcare, Edtech",pre-seed,https://linkedin.com/in/jesseguzman,Seeking advisors for patients-focused growth.
1387cff3-3933-4319-bfb7-4b723d4799f3,Michelle Miles,michelle.miles@hotmail.com,Engineer,Robinson-Lawrence,"Port Lindachester, Guam",Connecting teachers with mobile app through a AI marketplace.,"With expertise in machine learning, Michelle Miles has previously contributed to Apple. They are passionate about finance and focus on delivering impactful research.","AI, b2b, Logistics",growth,https://linkedin.com/in/eric51,
869803b3-0373-4ada-a5da-a538a2e1f565,Brent Abbott,brent.abbott@outlook.com,Investor,"Baker, Williams and Stevens","South Christianport, Switzerland",A climate solution that automates data entry for doctors.,Brent Abbott has a background in product design with over 7 years of experience. They have worked at Amazon and specialize in data science. Their work has led to scalable systems.,"consumer, Logistics, robotics",seed,https://linkedin.com/in/barbara10,Raised interest from Microsoft investors.
0636613a-d3b9-43b0-977a-9ea3cf4833d3,Patricia Galloway,patricia.galloway@yahoo.com,Other,Delacruz Group,"Shawnstad, Central African Republic",Helping doctors in Marketing save time with mobile app.,Patricia Galloway has a background in biotechnology with over 12 years of experience. They have worked at Stripe and specialize in robotics. Their work has led to impactful research.,"BioTech, Crypto, marketplace",seed,https://linkedin.com/in/michael41,
ffcf8dc4-837a-4969-8e01-764e9d647ad2,Carolyn Daniel,carolyn.daniel@outlook.com,Other,Ford LLC,"Lake Mark, Seychelles",On-demand customer support for consumers in the fintech space.,"With expertise in robotics, Carolyn Daniel has previously contributed to Tesla. They are passionate about computer science and focus on delivering reduced errors.","b2b, Legal, AI",series A,https://linkedin.com/in/perezantonio,
dc15308b-507a-47ea-a5dd-9a6cf70cf772,Derek Clark,derek.clark@hotmail.com,Investor,"Walter, Edwards and Rios","Wilkersonmouth, Cambodia",Connecting doctors with AI system through a edtech marketplace.,"With expertise in data science, Derek Clark has previously contributed to Google. They are passionate about biotechnology and focus on delivering scalable systems.","marketplace, Edtech, AI",seed,https://linkedin.com/in/donald88,Seeking advisors for small businesses-focused growth.
0b87d3cd-5baf-41ba-bc6e-eced4e1dbb3e,Kevin Hurst,kevin.hurst@outlook.com,PM,Cox-Osborn,"New Trevor, Saudi Arabia",Building a healthcare platform that helps small businesses improve accuracy.,Kevin Hurst has a background in computer science with over 10 years of experience. They have worked at Tesla and specialize in AI. Their work has led to reduced errors.,"BioTech, Crypto, Edtech",pre-seed,https://linkedin.com/in/callahaneric,
1daea16f-77ef-45e4-b1a8-ee0491d585a0,Michael Carlson,michael.carlson@hotmail.com,Co-Founder,James-Ferrell,"Tashatown, Pitcairn Islands",Simplifying patient care in Marketing using AI system.,Michael Carlson combines experience in product design with strong skills in robotics. They have built solutions for small businesses and achieved faster product launches.,"healthcare, Legal, Edtech",pre-seed,https://linkedin.com/in/maldonadoamanda,
f3db9ec9-d288-4bb2-b917-b99ea5f663c8,Martin Rodriguez,martin.rodriguez@gmail.com,Founder,Moore-Smith,"Teresaburgh, Madagascar",Personalized mobile app for doctors to save time.,Martin Rodriguez combines experience in biotechnology with strong skills in robotics. They have built solutions for developers and achieved reduced errors.,"Legal, Logistics, Crypto",pre-seed,https://linkedin.com/in/harrellkenneth,Considering expansion into robotics markets.
7e1821c0-5604-42d9-afef-97e49492eeb2,Lisa Hernandez,lisa.hernandez@hotmail.com,Other,Ryan PLC,"New Mariotown, Bouvet Island (Bouvetoya)",Building a climate platform that helps developers reduce costs.,Lisa Hernandez has a background in biotechnology with over 6 years of experience. They have worked at AntlerIndia and specialize in cloud systems. Their work has led to reduced errors.,"marketplace, fintech, Crypto",pre-seed,https://linkedin.com/in/natasha43,Raised interest from Amazon investors.
